"","X","Day","Month","Year","count","mdy","wd"
"388",388,6,2,2010,3074,2010-02-06,7
"389",389,6,2,2011,6066,2011-02-06,1
"390",390,6,2,2012,5043,2012-02-06,2
"391",391,6,2,2013,5558,2013-02-06,4
"392",392,6,2,2014,7051,2014-02-06,5
"393",393,6,2,2015,4220,2015-02-06,6
"394",394,6,2,2016,3743,2016-02-06,7
"395",395,6,3,2010,2719,2010-03-06,7
"396",396,6,3,2011,6142,2011-03-06,1
"397",397,6,3,2012,4760,2012-03-06,3
"398",398,6,3,2013,5386,2013-03-06,4
"399",399,6,3,2014,5210,2014-03-06,5
"400",400,6,3,2015,4761,2015-03-06,6
"401",401,6,3,2016,6227,2016-03-06,1
"402",402,6,4,2010,5636,2010-04-06,3
"403",403,6,4,2011,5612,2011-04-06,4
"404",404,6,4,2012,2296,2012-04-06,6
"405",405,6,4,2013,2487,2013-04-06,7
"406",406,6,4,2014,5284,2014-04-06,1
"407",407,6,4,2015,6266,2015-04-06,2
"408",408,6,4,2016,6137,2016-04-06,4
"409",409,6,5,2010,4593,2010-05-06,5
"410",410,6,5,2011,2381,2011-05-06,6
"411",411,6,5,2012,4661,2012-05-06,1
"412",412,6,5,2013,4668,2013-05-06,2
"413",413,6,5,2014,5295,2014-05-06,3
"414",414,6,5,2015,5979,2015-05-06,4
"415",415,6,6,2010,5709,2010-06-06,1
"416",416,6,6,2011,5351,2011-06-06,2
"417",417,6,6,2012,4426,2012-06-06,4
"418",418,6,6,2013,4894,2013-06-06,5
"419",419,6,6,2014,3408,2014-06-06,6
"420",420,6,6,2015,3698,2015-06-06,7
"421",421,6,7,2010,7422,2010-07-06,3
"422",422,6,7,2011,5308,2011-07-06,4
"423",423,6,7,2012,3502,2012-07-06,6
"424",424,6,7,2013,2669,2013-07-06,7
"425",425,6,7,2014,6153,2014-07-06,1
"426",426,6,7,2015,6413,2015-07-06,2
"427",427,6,8,2010,2590,2010-08-06,6
"428",428,6,8,2011,2032,2011-08-06,7
"429",429,6,8,2012,5230,2012-08-06,2
"430",430,6,8,2013,4661,2013-08-06,3
"431",431,6,8,2014,5195,2014-08-06,4
"432",432,6,8,2015,5584,2015-08-06,5
"433",433,6,9,2010,5383,2010-09-06,2
"434",434,6,9,2011,5565,2011-09-06,3
"435",435,6,9,2012,4304,2012-09-06,5
"436",436,6,9,2013,2627,2013-09-06,6
"437",437,6,9,2014,2940,2014-09-06,7
"438",438,6,9,2015,3541,2015-09-06,1
"439",439,6,10,2010,5328,2010-10-06,4
"440",440,6,10,2011,4842,2011-10-06,5
"441",441,6,10,2012,2077,2012-10-06,7
"442",442,6,10,2013,5276,2013-10-06,1
"443",443,6,10,2014,5404,2014-10-06,2
"444",444,6,10,2015,6301,2015-10-06,3
"445",445,6,11,2010,3821,2010-11-06,7
"446",446,6,11,2011,5376,2011-11-06,1
"447",447,6,11,2012,8201,2012-11-06,3
"448",448,6,11,2013,4996,2013-11-06,4
"449",449,6,11,2014,5630,2014-11-06,5
"450",450,6,11,2015,4043,2015-11-06,6
"451",451,6,12,2010,7696,2010-12-06,2
"452",452,6,12,2011,5343,2011-12-06,3
"453",453,6,12,2012,5023,2012-12-06,5
